,text,q
0,1053,0
1,1047,0
2,289,0
3,504,0
4,262,0
5,276,0
6,510,0
7,538,0
8,909,0
9,921,0
10,935,0
11,706,0
12,712,0
13,29,0
14,869,0
15,15,0
16,855,0
17,699,0
18,841,0
19,114,0
20,672,0
21,666,0
22,100,0
23,128,0
24,896,0
25,882,0
26,470,0
27,316,0
28,302,0
29,464,0
30,458,0
31,459,0
32,303,0
33,465,0
34,471,0
35,317,0
36,883,0
37,129,0
38,897,0
39,667,0
40,101,0
41,115,0
42,673,0
43,840,0
44,698,0
45,854,0
46,14,0
47,868,0
48,28,0
49,713,0
50,707,0
51,934,0
52,920,0
53,908,0
54,539,0
55,277,0
56,511,0
57,505,0
58,263,0
59,288,0
60,1046,0
61,1052,0
62,1044,0
63,1050,0
64,513,0
65,275,0
66,261,0
67,507,0
68,249,0
69,936,0
70,922,0
71,711,0
72,705,0
73,739,0
74,842,0
75,16,0
76,856,0
77,103,0
78,665,0
79,671,0
80,117,0
81,881,0
82,659,2
83,895,0
84,498,0
85,467,0
86,301,0
87,315,1
88,473,0
89,329,0
90,328,0
91,314,0
92,472,0
93,466,0
94,300,0
95,499,0
96,894,0
97,658,0
98,880,1
99,670,0
100,116,0
101,102,0
102,664,0
103,857,0
104,17,0
105,843,0
106,738,0
107,704,0
108,710,0
109,923,0
110,937,0
111,248,0
112,260,0
113,506,0
114,512,0
115,274,0
116,1051,0
117,1045,0
118,1041,0
119,1055,0
120,258,0
121,270,0
122,516,0
123,502,0
124,264,0
125,933,0
126,927,0
127,728,0
128,714,0
129,700,0
130,847,0
131,13,0
132,853,0
133,884,0
134,890,0
135,648,0
136,660,0
137,106,0
138,112,0
139,674,0
140,489,0
141,338,0
142,304,0
143,462,0
144,476,0
145,310,0
146,477,0
147,311,1
148,305,0
149,463,0
150,339,0
151,488,0
152,113,0
153,675,0
154,661,0
155,107,0
156,649,0
157,891,0
158,885,0
159,852,0
160,12,0
161,846,0
162,701,0
163,715,0
164,729,1
165,926,0
166,932,0
167,503,0
168,265,0
169,271,1
170,517,0
171,259,0
172,1054,0
173,1040,0
174,298,0
175,1056,0
176,1042,0
177,529,0
178,267,0
179,501,0
180,515,0
181,273,0
182,924,0
183,930,0
184,918,0
185,703,0
186,717,1
187,688,0
188,10,0
189,850,0
190,844,0
